,RiverToExport_0,RiverToExport_1,RiverToExport_2,RiverToExport_3,RiverToExport_4,RiverToExport_5,RiverToExport_6,RiverToExport_7
0,2508571648.6606083,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,256324234.92039275,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1117590143.1115708,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1370853083.6793823,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1697088443.2660656,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,5371135758.205796,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,16611916436.428932,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8884556267.781263,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1964053240.1043527,0.0,0.0,0.0,0.0,0.0,0.0,0.0
