Scenario,Year,Rates,Demand_China,Demand_ROW,OBJ_Values,Revenue_Total,Cost_Total,Cost_Operation,Cost_Holding,Cost_Facility,Cost_Barges,Cost_Rails,Cost_BExport,Cost_SExport,Cost_Oceans,Total_production,Inventory,Quantity_X_Facility,Quantity_X_Country_Stream,Quantity_X_Country_Rail,Quantity_Y_Stream_Export,Quantity_Y_Rail_Export,Quantity_Z_Export_Import,China_Price,ROW_Price,Revenue_Domestic,Revenue_China,Revenue_Row,Subsidy,Tax,Runtime
SSP2,2030,1_1_0.5_1,149734199,119787359,5931877111750,5958673206155,26796094404,82185274,7040457289,401831952,441446314,3628714531,1435609642,2142039581,11623809818,425996922,140809145,15666217,59893679,209627879,59893679,209627879,269521558,2449,1559,5386040622426,366781483348,186857064662,18994035718,0,23.83795738220215
SSP2,2030,1_1_1_1,149734199,119787359,5929881211744,5958673206155,28791994410,82185274,7040457289,401831952,642495101,3282606122,2047974785,3636117418,11658326466,425996922,140809145,15666217,74189963,195331595,74189963,195331595,269521558,2449,1559,5386040622426,366781483348,186857064662,18994035718,0,24.227985382080078
SSP2,2030,1_1_1_10,149734199,119787359,5827620544534,5958673206155,131052661621,82185274,7040457289,401831952,491523603,3689622673,1776565948,6742186130,110828288749,425996922,140809145,15666217,58079686,211441872,58079686,211441872,269521558,2449,1559,5386040622426,366781483348,186857064662,18994035718,0,34.620670318603516
SSP2,2030,1_10_1_1,149734199,119787359,5928158186692,5958673206155,30515019462,82185274,7040457289,401831952,0,5581444140,0,5693634112,11715466693,425996922,140809145,15666217,0,269521558,0,269521558,269521558,2449,1559,5386040622426,366781483348,186857064662,18994035718,0,24.675024032592773
SSP2,2030,10_1_1_1,149734199,119787359,5897402751371,5958673206155,61270454783,82185274,7040457289,4018319521,14965070359,15172469408,6192533463,2150471131,11648948335,425996922,140809145,15666217,138267325,131254233,138267325,131254233,269521558,2449,1559,5386040622426,366781483348,186857064662,18994035718,0,25.490968704223633
